0,这款热水器功能很强大，可以半胆，整胆分开加热，触摸屏，预约功能，还有一个增容模式，客服特别好，礼貌热情，感觉特别亲切，送货安装也非常满意
1,非常漂亮，是那种高级香槟金那种感觉，高大上，液晶面板。操作简单，方便。挺快的，安装好几分钟就升温好几度。能好很低能用很长时间，有了小孩这会就够用了安装师傅专业，服务好，讲解仔细，临走时还带走垃圾，打孔时用防尘袋。非常给力，非常满意！
2,彩钢颜值，轻奢外观，看起来就高端，大气，上档次?，买的60升的，够全家人用，还有小京鱼APP智能操控，镜面触屏，屏幕显示清晰，操作很方便，加热速度快，有全胆和半胆加热，还有增功能，效果更好。一级能效等级，省时省电，还能预约加热出水率好，冬天再也不用担心没有热水了，够全家人使用，双11购物超级划算，还有赠品，买品牌品质值得信赖，使用寿命长，售后服务好，物流发货快，双11下单，第2天就能到，预约上门安装，师傅很准时很专业，服务态度好，有效率，很辛苦，顾不上喝水，饭点也不休息，辛苦了?，安装完后测试机器，还耐心讲解如何使用，如何操作
3,大气上档次，漂亮。装满水很快，有满胆和半胆选择键，还有预约热水时间，很方便，省电节能技术可以供一家5口人使用。预约和节能技术还有金圭胆，减少水垢堆积。健康环保
4,好看呀！金灰金灰的，高大上的感觉，气质型；加热速度好快，让师傅安装好，他帮我设置60度，十来分钟就从18到30+了，很快。这个得后续看啦！不过感觉还可以嘻嘻，我不是很懂；挺好，喜欢呀安装师傅人好细心，安装得很美观；安全性能看着也挺高，综合好评的啦！
5,外观很喜欢，颜色也很时尚，外观大气加热速度很快，可以连接手机，随时操控开关机，没到家就可以打开，回家就可以洗个热水澡一级能耗，没算过哈哈，反正烧好不用就关掉了之前调到65度没开增容不行的，洗不了两个人，现在调到75度打开增容正好洗俩人可以随时操控，还有增容很不错，推荐购买
6,家里没有地线，等了差不多一个星期才安装，发货特别快，当天下单第二天就到了，送货的师傅特別负责，后面安装师傅在安装中非常干净，技术也特别娴熟，不得不说有一边几乎靠墙，卫生间不大，师傅特别理解，直接安装靠墙，机体美观大方，安装师傅还主动告诉使用和注意事项，整胆半胆设计合理，节约用电，还有预约功能，操作简单，毕竟接电电器，还是要选择史密斯，当时看热水器的时候第一眼就看中了这款，高端大气上档次，低调奢华有内涵，不错不错。包装完整很快很低很爽能预约洗澡哦
7,一眼就看中了这款热水器，非常低调奢华有内涵的颜色！60L和80L的一样买了一个。送货很快，服务态度也很到位。安装师傅工作细心认真，手法也很快！秒杀时候抢的，还有赠品，挺合适的，非常满意的一次购物，正在等待赠品中！其他的特点后续再评价吧，现在还没开始使用，加热速度，能耗什么的都不知道呢。
8,家中装修，等了几天才预约安装，发货特别快，当天就收到货了，安装师傅特别负责，安装中非常干净，技术也特别娴熟，不得不说有一边几乎靠墙，卫生间不大，师傅特别理解，直接安装靠墙，机体美观大方，安装师傅还主动告诉使用和注意事项，整胆半胆设计合理，节约用电，还有预约功能，操作简单，毕竟接电电器，还得选择大品牌，就是活动奖励没有抢到，希望售后也不错。
9,时尚大方。香槟金色。我喜欢触面板操作简单。AO史密斯热水器老品牌。加热没的说。还有速热半胆模式以供选择。一级能效省电。耗能低。六十升足够一家三口用水了。AO史密斯热水器大品牌值得信赖。使用放心。父母家里就是AO史密斯热水器。使用很多年了。安装师傅服务非常好，我很满意。
10,外观很大气 颜色很高档 看起来高大尚加热速度还可以 试验了一下 凉水升温到66度用时不到20分钟耗能情况待考察 后期会追评不错安装调试人员很敬业 服务态度很好 业务水平非常熟练 专业性强 绝对好评
11,顏色和裝修很搭，金色自帶高級光環，全家都很滿意加熱很快，燒滿75度，夠全家三人洗了，還有餘量，很滿意這個覺察不出來哈，不過以史密斯的技術几一級能耗的標準，應該也是市面產品的翹楚吧安裝師傅也很專業，配件收費合理。
12,史密斯热水器以前就购买过一次，用起来很不错！加热速度快，也很环保节能，外观也很好看，各种配件质量非常好！价格贵一些也是有道理的！上门安装师傅非常专业和敬业！服务很到位，挺满意的！以后继续关注！感谢商家感谢京东！
13,外观很漂亮，挂在卫生间刚好合适。?加热速度很快功率三千瓦，速度，很快洗澡的时候很方便。?功耗以及使用很方便省电安全保护很到位休息时间还没是么等试过以后再来评价。后再来评价。史密斯热水器还是很不错的，从他那个插座到他那个金龟内胆和外表很结实，看得很扛用买也很耐用。具体使用情况等以后我会追评价的。安装师傅，很好很热情了，各种使用方法都告诉了，包括那个插头的那个安全装置都介绍了，收费也很合理师傅，上门安装结束以后将垃圾全都带走地面擦得很干净，在打眼钻孔当中，灰尘没有落到其他地方整体感觉很干净，师傅很好。
14,史密斯的热水器质量真是不错，用料扎实，耗电量低，加热速度快，功能强大，这一款还有远程预约功能，回家时间不确定的时候，用手机APP就能搞定，客服态度很好，有问必答，讲解详细，安装小哥很专业，认真负责，装完以后又给详细讲解了使用方式，还给打扫了卫生。这次购物买的很值。
15,特别漂亮高端大气上档次，液晶屏很大加热速度快级能效 省电安装师傅准时上门安转，安装很满意，安装还把卫生打扫了，还交了热水器如何使用
16,卖家发货及时，物流也快，包装完好无损，热水器质量很好，颜色高大上，手机app控制的，很省电，水温一目了然，卖家很细心，一次把配件发齐了，少了很多麻烦，双十一买的，价格超实惠，还送了赠品，安装师傅很热情，上门也快，很细心，安装的很好，一次满意的购物
17,挺不错的，看起来美观大气。始终认可史密斯，加热没的说。还可以的，史密斯一直不错。联网很方便连接小鲸鱼，不用麻烦的操作了，识别率也很好。热水输出率比其他的品牌也好很多，特别是镁棒方面。能耗比其他的品牌要好很多。
18,热水器尺寸正好，外观大气，大品牌，值得信赖，能无线用手机控制，还赠了智能音箱控制，加热很快，快递送的很准时，安装师傅安完了还把灰清理干净了，很专业，很满意的一次购物，等用一段时间我再来追评
19,大气上档次！一桶水一会就到75度，加热很快！一级能耗非常省电！安装师傅人很好，活做的非常漂亮，很专业速度很快！
